넣은 값,first경우,second경우,third경우
1,1,1,1
2,1,2,4
3,1,3,9
4,1,4,16
5,1,5,25
6,1,6,36
7,1,7,49
8,1,8,64
9,1,9,81
10,1,10,100
11,1,11,121
12,1,12,144
13,1,13,169
14,1,14,196
15,1,15,225
16,1,16,256
17,1,17,289
18,1,18,324
19,1,19,361
20,1,20,400
21,1,21,441
22,1,22,484
23,1,23,529
24,1,24,576
25,1,25,625
26,1,26,676
27,1,27,729
28,1,28,784
29,1,29,841
30,1,30,900
31,1,31,961
32,1,32,1024
33,1,33,1089
34,1,34,1156
35,1,35,1225
36,1,36,1296
37,1,37,1369
38,1,38,1444
39,1,39,1521
40,1,40,1600
41,1,41,1681
42,1,42,1764
43,1,43,1849
44,1,44,1936
45,1,45,2025
46,1,46,2116
47,1,47,2209
48,1,48,2304
49,1,49,2401
50,1,50,2500
